NGI.ID,User.ID,Time,Sample.ID,Tissue,Replicate,Mreads,X..Q30
P11562_206,PabB6C3_FMG,B6,B6C3,FMG,B6-FMG,17.11,93.58
P2228_101,"NA",U,"NA",S,"NA",NA,NA
P2228_102,"NA",U,"NA",S,"NA",NA,NA
P2228_103,"NA",U,"NA",S,"NA",NA,NA
P2228_104,"NA",U,"NA",S,"NA",NA,NA
P2228_105,"NA",U,"NA",S,"NA",NA,NA
P2228_106,"NA",U,"NA",S,"NA",NA,NA
P2228_107,"NA",U,"NA",S,"NA",NA,NA
P2228_108,"NA",U,"NA",S,"NA",NA,NA
P2228_109,"NA",U,"NA",S,"NA",NA,NA
P2228_110,"NA",U,"NA",S,"NA",NA,NA
P2228_111,"NA",U,"NA",S,"NA",NA,NA
P2228_112,"NA",U,"NA",S,"NA",NA,NA
P2228_113,"NA",U,"NA",S,"NA",NA,NA
P2228_114,"NA",U,"NA",S,"NA",NA,NA
P2228_115,"NA",U,"NA",S,"NA",NA,NA
P2228_117,"NA",U,"NA",S,"NA",NA,NA
P2228_118,"NA",U,"NA",S,"NA",NA,NA
P2228_119,"NA",U,"NA",S,"NA",NA,NA
P2228_120,"NA",U,"NA",S,"NA",NA,NA
P1790_101,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_102,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_103,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_104,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_105,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_106,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_107,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_108,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_109,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_110,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_111,"NA",U,"NA",29Seed,"NA",NA,NA
P1790_112,"NA",U,"NA",29Seed,"NA",NA,NA
