User.ID,Time,Sample.ID,Tissue,Replicate,Mreads,X..Q30,NGI.ID
PabB7C6_ZE,NA,NA,NA,NA,18.54,94.16,P11562_133
PabB8C1_FMG,NA,NA,NA,NA,16.98,91.42,P11562_134
PabB8C1_ZE,NA,NA,NA,NA,16.07,93.88,P11562_135
PabB8C4_FMG,NA,NA,NA,NA,16.64,94.08,P11562_136
PabB8C4_ZE,NA,NA,NA,NA,14.22,91.15,P11562_137
PabB8C6_FMG,NA,NA,NA,NA,13.21,89.74,P11562_138
PabB8C6_ZE,NA,NA,NA,NA,14.09,90.27,P11562_139
PabB9C4_FMG,NA,NA,NA,NA,15.49,91.21,P11562_140
PabB9C4_ZE,NA,NA,NA,NA,17.44,93.63,P11562_141
PabB9C5_FMG,NA,NA,NA,NA,21.7,93.41,P11562_142
PabB9C5_ZE,NA,NA,NA,NA,10.92,92.08,P11562_143
PabB10S1_ZE,NA,NA,NA,NA,17.63,93.2,P11562_145
Pab739_1_FMG,NA,NA,NA,NA,14.23,93.17,P11562_146
Pab739_1_ZE,NA,NA,NA,NA,15.05,89.98,P11562_147
Pab739_2_FMG,NA,NA,NA,NA,20.24,93.56,P11562_148
Pab739_2_ZE,NA,NA,NA,NA,13.13,91.94,P11562_149
Pab739_3_FMG,NA,NA,NA,NA,19.66,93.69,P11562_150
Pab739_3_ZE,NA,NA,NA,NA,19.04,91.63,P11562_151
Pab738_1_ZE,NA,NA,NA,NA,9.14,90.74,P11562_153
Pab738_2_FMG,NA,NA,NA,NA,15.54,91.5,P11562_154
Pab738_2_ZE,NA,NA,NA,NA,20.25,94.11,P11562_155
Pab738_3_ZE,NA,NA,NA,NA,16.39,91.3,P11562_157
PabB3C6_FMG,NA,NA,NA,NA,13.57,94.03,P11562_201
PabB7C6_FMG,NA,NA,NA,NA,15.83,93.39,P11562_202
PabB10S1_FMG,NA,NA,NA,NA,16.79,93.89,P11562_203
Pab738-1_FMG,NA,NA,NA,NA,7.74,91.53,P11562_204
Pab738-3_FMG,NA,NA,NA,NA,15.53,94.23,P11562_205
PabB6C3_FMG,NA,NA,NA,NA,17.11,93.58,P11562_206
