NGI.ID,User.ID,Time,Sample.ID,Tissue,Replicate,Mreads,X..Q30,Experiment
P11562_206,PabB6C3_FMG,B6,B6C3,FMG,B6-FMG,17.11,93.58,Zygotic Embryogenesis
P1790_101,Pab.Z4006-ZE-10.TR001,NA,NA,ZE ,NA,NA,NA,29Seed
P1790_102,Pab.Z4006-ZE-11.TR001,NA,NA,ZE ,NA,NA,NA,29Seed
P1790_103,Pab.Z4006-ZE-12.TR001,NA,NA,ZE ,NA,NA,NA,29Seed
P1790_104,Pab.Z4006-ZE-13.TR001,NA,NA,ZE ,NA,NA,NA,29Seed
P1790_105,Pab.Z4006-ZE-14.TR001,NA,NA,ZE ,NA,NA,NA,29Seed
P1790_106,Pab.Z4006-ZE-15.TR001,NA,NA,ZE ,NA,NA,NA,29Seed
P1790_107,Pab.Z4006-FMG-10.TR001,NA,NA,FMG ,NA,NA,NA,29Seed
P1790_108,Pab.Z4006-FMG-11.TR001,NA,NA,FMG ,NA,NA,NA,29Seed
P1790_109,Pab.Z4006-FMG-12.TR001,NA,NA,FMG ,NA,NA,NA,29Seed
P1790_110,Pab.Z4006-FMG-13.TR001,NA,NA,FMG ,NA,NA,NA,29Seed
P1790_111,Pab.Z4006-FMG-14.TR001,NA,NA,FMG ,NA,NA,NA,29Seed
P1790_112,Pab.Z4006-FMG-15.TR001,NA,NA,FMG ,NA,NA,NA,29Seed
P2228_101,NR1,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_102,NR2,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_103,NR3,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_104,NR4,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_105,NR5,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_106,NR6,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_107,NR7,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_108,NR8,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_109,NR9,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_110,NR10,NA,NA,Normal,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_111,AR1,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_112,AR2,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_113,AR3,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_114,AR4,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_115,AR5,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_117,AR7,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_118,AR8,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_119,AR9,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P2228_120,AR10,NA,NA,Aberrant,NA,NA,NA,Somatic Embryogenesis Germinants
P464_202,#PabK11-35TR0002,NA,NA,1,NA,NA,NA,Somatic Embryogenesis
P464_203,#PabK11-35TR0003,NA,NA,2,NA,NA,NA,Somatic Embryogenesis
P464_204,#PabK11-35TR0004,NA,NA,3,NA,NA,NA,Somatic Embryogenesis
P464_205,#PabK11-35TR0005,NA,NA,4,NA,NA,NA,Somatic Embryogenesis
P464_206,#PabK11-35TR0006,NA,NA,5,NA,NA,NA,Somatic Embryogenesis
P464_208,#PabK11-35TR0008,NA,NA,7,NA,NA,NA,Somatic Embryogenesis
P464_211,#PabK11-35TR0011,NA,NA,9,NA,NA,NA,Somatic Embryogenesis
P464_201B,#PabK11-35TR0001,NA,NA,0,NA,NA,NA,Somatic Embryogenesis
P464_209B,#PabK11-35TR0009,NA,NA,8,NA,NA,NA,Somatic Embryogenesis
P464_207B,#PabK11-35TR0007,NA,NA,6,NA,NA,NA,Somatic Embryogenesis
P7614_301,#PabK14-03PEM_TR1,NA,NA,1,NA,NA,NA,Somatic Embryogenesis
P7614_302,#PabK14-03PEM_TR2,NA,NA,1,NA,NA,NA,Somatic Embryogenesis
P7614_303,#PabK14-03PEM_TR3,NA,NA,1,NA,NA,NA,Somatic Embryogenesis
P7614_304,#PabK14-03DKM_TR1,NA,NA,2,NA,NA,NA,Somatic Embryogenesis
P7614_305,#PabK14-03DKM_TR2,NA,NA,2,NA,NA,NA,Somatic Embryogenesis
P7614_306,#PabK14-03DKM_TR3,NA,NA,2,NA,NA,NA,Somatic Embryogenesis
P7614_307,#PabK14-03SM_TR1,NA,NA,3,NA,NA,NA,Somatic Embryogenesis
P7614_308,#PabK14-03SM_TR2,NA,NA,3,NA,NA,NA,Somatic Embryogenesis
P7614_309,#PabK14-03SM_TR3,NA,NA,3,NA,NA,NA,Somatic Embryogenesis
P7614_310,#PabK14-03LSM_TR1,NA,NA,4,NA,NA,NA,Somatic Embryogenesis
P7614_311,#PabK14-03LSM_TR2,NA,NA,4,NA,NA,NA,Somatic Embryogenesis
P7614_312,#PabK14-03LSM_TR3,NA,NA,4,NA,NA,NA,Somatic Embryogenesis
P7614_313,#PabK14-03SD_TR1,NA,NA,5,NA,NA,NA,Somatic Embryogenesis
P7614_314,#PabK14-03SD_TR2,NA,NA,5,NA,NA,NA,Somatic Embryogenesis
P7614_315,#PabK14-03SD_TR3,NA,NA,5,NA,NA,NA,Somatic Embryogenesis
P7614_316,#PabK14-03ED_TR1,NA,NA,6,NA,NA,NA,Somatic Embryogenesis
P7614_317,#PabK14-03ED_TR2,NA,NA,6,NA,NA,NA,Somatic Embryogenesis
P7614_318,#PabK14-03ED_TR3,NA,NA,6,NA,NA,NA,Somatic Embryogenesis
P7614_319,#PabK14-03RO_TR1,NA,NA,7,NA,NA,NA,Somatic Embryogenesis
P7614_320,#PabK14-03RO_TR2,NA,NA,7,NA,NA,NA,Somatic Embryogenesis
P7614_321,#PabK14-03RO_TR3,NA,NA,7,NA,NA,NA,Somatic Embryogenesis
P7614_322,#PabK14-03PLS_TR1,NA,NA,8,NA,NA,NA,Somatic Embryogenesis
P7614_323,#PabK14-03PLS_TR2,NA,NA,8,NA,NA,NA,Somatic Embryogenesis
P7614_324,#PabK14-03PLS_TR3,NA,NA,8,NA,NA,NA,Somatic Embryogenesis
